"uid","school_name","date","year","time","day_of_week","city","state","school_type","enrollment","killed","injured","casualties","shooting_type","age_shooter1","gender_shooter1","race_ethnicity_shooter1","shooter_relationship1","shooter_deceased1","deceased_notes1","age_shooter2","gender_shooter2","race_ethnicity_shooter2","shooter_relationship2","shooter_deceased2","deceased_notes2","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","weapon","weapon_source","lat","long","low_grade","high_grade","county","school","id"
38,"Mount Pleasant High School","1/22/2003",2003,NA,"Wednesday","Providence","Rhode Island","public",1641,0,0,0,"targeted",NA,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,247,396,831,155,12,NA,NA,0,"22-caliber semi-automatic",NA,41.837981,-71.45125,"9","12","Providence County","High",38
39,"Ranum High School","2/5/2003",2003,08:40:00,"Wednesday","Westminster","Colorado","public",1434,0,0,0,"targeted",14,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,539,18,748,112,17,NA,NA,1,"small semi-automatic handgun",NA,39.841774,-105.015495,"9","12","Adams County","High",39
40,"Cardozo High School","4/1/2003",2003,12:15:00,"Tuesday","Washington","District of Columbia","public",749,0,1,1,"targeted",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,6,530,183,28,2,NA,NA,1,"handgun",NA,38.922338,-77.029756,"9","12","District of Columbia","High",40
41,"John McDonogh High School","4/14/2003",2003,10:30:00,"Monday","New Orleans","Louisiana","public",1260,1,3,4,"targeted",19,"m",NA,"none",0,NA,17,"m",NA,"none",NA,NA,10,1241,9,0,0,NA,NA,1,"AK-47 and semiautomatic pistol",NA,29.974421,-90.075733,"8","12","Orleans Parish","High",41
42,"Delhi Middle School","4/15/2003",2003,08:15:00,"Tuesday","Delhi","California","public",394,0,1,1,"targeted",NA,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,101,7,273,13,0,NA,NA,0,"handgun",NA,37.426801,-120.792392,"6","8","Merced County","Middle",42
43,"Red Lion Area Junior High School","4/24/2003",2003,07:30:00,"Thursday","Red Lion","Pennsylvania","public",965,1,0,1,"targeted",14,"m","w","student",1,"suicide",NA,NA,NA,NA,NA,NA,949,6,5,5,0,NA,NA,1,".44-caliber handgun, .22-caliber gun to kill himself","stepfather",39.893809,-76.609728,"7","8","York County","High",43
44,"Vicksburg High School","9/10/2003",2003,14:30:00,"Wednesday","Vicksburg","Mississippi","public",1121,1,0,1,"targeted",20,"m",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,388,719,9,5,0,NA,NA,0,"handgun",NA,32.323263,-90.885251,"9","12","Warren County","High",44
45,"Lewis and Clark High School","9/22/2003",2003,11:10:00,"Monday","Spokane","Washington","public",1992,0,0,0,"indiscriminate",16,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1701,116,64,71,40,NA,NA,0,"9 millimeter semiautomatic pistol","home",47.652394,-117.419841,"9","12","Spokane County","High",45
46,"Rocori High School","9/24/2003",2003,11:38:00,"Wednesday","Cold Spring","Minnesota","public",831,2,0,2,"targeted",15,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,813,3,8,7,0,NA,NA,0,".22 caliber pistol","father",45.466258,-94.426618,"8","12","Stearns County","High",46
47,"Burns Middle School","9/25/2003",2003,08:00:00,"Thursday","Lawndale","North Carolina","public",1049,0,0,0,"indiscriminate",13,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,786,240,20,3,0,NA,NA,1,"9mm handgun",NA,35.425762,-81.539104,"6","8","Cleveland County","Middle",47
48,"Rio Cazadero High School","10/1/2003",2003,09:00:00,"Wednesday","Sacramento","California","public",317,0,2,2,"targeted",NA,"m",NA,"multiple officers",0,NA,NA,NA,NA,NA,NA,NA,27,105,91,88,5,NA,NA,0,"officer weapons","police",38.469639,-121.435306,"9","12","Sacramento County","High",48
217,"East Mecklenburg High School","11/13/2003",2003,11:45:00,"Thursday","Charlotte","North Carolina","public",2275,0,1,1,"accidental",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,997,990,198,82,8,NA,NA,1,".25-caliber handgun",NA,35.175976,-80.756579,"9","12","Mecklenburg County","High",49
49,"Ballou High School","2/2/2004",2004,10:30:00,"Monday","Washington","District of Columbia","public",1090,1,1,2,"targeted",18,"m","b","student",0,NA,NA,NA,NA,NA,NA,NA,0,1084,2,2,2,NA,NA,1,".380-caliber pistol","puchased by shooter and friends",38.839005,-77.001667,"9","12","District of Columbia","High",50
50,"Columbia High School","2/9/2004",2004,10:30:00,"Monday","East Greenbush","New York","public",1455,0,1,1,"indiscriminate",16,"m","w","student",0,NA,NA,NA,NA,NA,NA,NA,1390,28,6,31,0,NA,NA,0,"12-gauge Winchester shotgun",NA,42.62068,-73.690848,"9","12","RENSSELAER","High",51
51,"T.M. Peirce Elementary School","2/11/2004",2004,08:30:00,"Wednesday","Philadelphia","Pennsylvania","public",453,1,1,2,"targeted",19,"m","b","none",0,NA,20,"m","b","none",0,NA,2,445,4,2,0,NA,NA,1,"carbine rifle, assault weapon",NA,39.998621,-75.168248,"KG","5","Philadelphia County","Elementary",52
52,"Castlemont High School","6/9/2004",2004,12:22:00,"Wednesday","Oakland","California","public",1467,0,2,2,"targeted",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9,736,631,83,1,NA,NA,0,NA,NA,37.75982,-122.16302,"9","12","Alameda County","High",53
53,"Proviso East High School","8/30/2004",2004,14:30:00,"Monday","Maywood","Illinois","public",2068,1,0,1,"targeted",NA,"m","b","none",0,NA,NA,NA,NA,NA,NA,NA,44,1506,497,9,10,NA,NA,1,"handgun",NA,41.88062,-87.83382,"9","12","Cook County","High",54
54,"Wirt High School","9/15/2004",2004,NA,"Wednesday","Gary","Indiana","public",792,0,0,0,"indiscriminate",NA,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,10,769,11,2,0,NA,NA,0,"handgun",NA,41.60997,-87.26145,"9","12","Lake County","High",55
55,"Thurgood Marshall High School","10/21/2004",2004,16:00:00,"Thursday","Baltimore","Maryland","public",502,0,2,2,"targeted",16,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,6,493,2,0,1,NA,NA,1,"handgun",NA,39.31911,-76.54552,"9","11","Baltimore City","High",56
56,"Booker T. Washington High School","11/12/2004",2004,12:00:00,"Friday","New Orleans","Louisiana","public",383,0,1,1,"targeted",28,"f",NA,"security guard",0,NA,NA,NA,NA,NA,NA,NA,2,381,0,0,0,NA,NA,1,".38-caliber revolver","department issued",29.94966,-90.08893,"8","12","Orleans Parish","High",57
57,"Emmanuel Christian Academy","12/7/2004",2004,15:00:00,"Tuesday","Jackson","Mississippi","private",128,0,1,1,"accidental",28,"f",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,128,0,0,0,NA,NA,0,".22 caliber handgun",NA,32.288835,-90.196049,"PK","8","Hinds County","Elementary",58
