"uid","school_name","date","year","time","day_of_week","city","state","school_type","enrollment","killed","injured","casualties","shooting_type","age_shooter1","gender_shooter1","race_ethnicity_shooter1","shooter_relationship1","shooter_deceased1","deceased_notes1","age_shooter2","gender_shooter2","race_ethnicity_shooter2","shooter_relationship2","shooter_deceased2","deceased_notes2","white","black","hispanic","asian","american_indian_alaska_native","hawaiian_native_pacific_islander","two_or_more","resource_officer","weapon","weapon_source","lat","long","low_grade","high_grade","county","school","id"
329,"Rippon Middle School","3/22/2022",2022,11:00:00,"Thursday","Woodbridge","Virginia","public",1371,0,0,0,"indiscriminate",20,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,127,519,498,140,2,5,80,0,"rifle and shotgun",NA,38.6226,-77.2671,"6","7","Prince William County","Middle",328
337,"Western High School","3/29/2022",2022,14:15:00,"Tuesday","Las Vegas","Nevada","public",2732,0,2,0,"targeted",NA,NA,NA,"school police officer",NA,NA,NA,NA,NA,NA,NA,NA,155,451,1969,49,1,21,86,0,NA,NA,36.176163,-115.202879,"9","12","Clark County","High",329
333,"West Philadelphia Achievement Charter Elementary School","3/31/2022",2022,09:00:00,"Thursday","Philadelphia","Pennsylvania","public",470,0,0,0,"accidental",8,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,60,382,6,10,8,0,4,0,NA,NA,32.780532,-89.105653,"PK","6","Neshoba County","Elementary",330
321,"Tanglewood Middle","3/31/2022",2022,12:26:00,"Thursday","Greenville","South Carolina","public",868,1,0,1,"targeted",12,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,105,351,379,0,4,0,29,0,"handgun",NA,34.824083,-82.46882,"6","8","Greenville County","Middle",331
332,"Lowellville Junior/Senior High School","4/5/2022",2022,10:00:00,"Thursday","Lowellville","Ohio","public",219,0,0,0,"public suicide",NA,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,191,9,15,0,0,0,4,0,NA,NA,41.044822,-80.552325,"7","12","Mahoning County","High",332
322,"Erie High School","4/5/2022",2022,09:20:00,"Tuesday","Erie","Pennsylvania","public",2267,0,1,1,"targeted",14,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,803,912,317,111,4,1,119,0,"9mm handgun",NA,42.101896,-80.082293,"9","12","Erie County","High",333
334,"Pine Bluff High School","4/11/2022",2022,14:45:00,"Monday","Pine Bluff","Arkansas","public",892,0,0,0,"unclear",NA,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,21,851,16,1,0,0,3,1,NA,NA,34.219096,-92.010781,"9","12","Jefferson County","High",334
340,"Edmund Burke School","4/22/2022",2022,15:18:00,"Friday","Washington","District of Columbia","private",300,0,4,4,"indiscriminate",23,"m",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"sniper rifle",NA,38.94304098,-77.06209293,NA,NA,"District of Columbia","High",335
338,"Aspen Ridge Elementary School","4/26/2022",2022,13:30:00,"Tuesday","West Ishpeming","Michigan","public",753,0,0,0,"public suicide",NA,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,706,3,6,5,12,5,16,0,NA,NA,46.4805,-87.7289,"KG","8","Marquette County","Elementary",336
344,"Heights High School","5/12/2022",2022,13:15:00,"Thursday","Houston","Texas","public",2450,0,1,1,"targeted",17,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,257,296,1841,23,3,2,28,0,"AK pistol",NA,29.795384,-95.3935,"9","12","Harris County","High",337
343,"Alexander W. Dreyfoos School of Arts","5/13/2022",2022,11:58:00,"Friday","West Palm Beach","Florida","public",1363,1,0,0,"targeted",NA,"f",NA,"off-duty police officer",NA,NA,NA,NA,NA,NA,NA,NA,710,125,326,127,3,0,72,0,NA,NA,26.709238,-80.059481,"9","12","Palm Beach County","High",338
328,"Walt Disney Magnet School","5/17/2022",2022,10:00:00,"Tuesday","Chicago","Illinois","public",1536,0,1,1,"accidental",8,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,231,738,317,177,9,3,61,0,NA,NA,41.9568,-87.6469,"PK","8","Cook County","Elementary",339
342,"Mexia High School","5/17/2022",2022,11:20:00,"Monday","Mexia","Texas","public",531,0,0,0,"unclear",17,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,97,134,280,9,0,1,12,0,NA,NA,31.696012,-96.473307,"9","12","Limestone County","High",340
327,"Robb Elementary School","5/24/2022",2022,11:33:00,"Tuesday","Uvalde","Texas","public",538,21,12,33,"indiscriminate",18,"m","h",NA,NA,NA,NA,NA,NA,NA,NA,NA,47,6,516,0,0,0,2,0,NA,NA,29.199304,-99.78812,"3","4","Uvalde County","Elementary",341
348,"Ulysses S. Grant High School","6/1/2022",2022,15:25:00,"Wednesday","Los Angeles","California","public",1886,0,1,2,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732,58,1010,61,5,2,18,0,NA,NA,34.177798,-118.415327,"9","12","Los Angeles County","High",342
347,"Walnut Park Elementary","6/9/2022",2022,09:30:00,"Thursday","Gadsden","Alabama","public",203,1,1,2,"targeted",NA,NA,NA,"police officer",NA,NA,NA,NA,NA,NA,NA,NA,118,48,35,1,1,0,0,0,NA,NA,34.0107,-86.0562,"PK","5","Etowah County","Elementary",343
345,"John Finney High School","7/20/2022",2022,09:25:00,"Wednesday","Vallejo","California","public",135,0,0,0,"unclear",NA,"m","Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,53,65,4,0,2,2,0,NA,NA,38.111902,-122.243859,"9","12","Solano County","High",344
349,"Madison Park Academy","8/29/2022",2022,13:30:00,"Monday","Oakland","California","public",754,0,1,1,"accidental",12,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,5,117,589,15,1,22,5,0,NA,NA,37.727297,-122.178837,"6","12","Alameda County","High",345
350,"Mergenthaler Vocational Technical High School","9/2/2022",2022,15:00:00,"Friday","Baltimore","Maryland","public",1785,1,0,1,"targeted",17,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,51,1577,145,6,0,1,5,0,"handgun",NA,39.3322,-76.5911,"9","12","Baltimore City","High",346
351,"Treasure Cost Classical Academy","9/19/2022",2022,NA,"Monday","Stuart","Florida","public",1030,0,0,0,"accidental",NA,"m","w","school resource deputy",0,NA,NA,NA,NA,NA,NA,NA,818,25,130,20,1,1,35,0,"handgun",NA,27.120513,-80.234928,"KG","12","Martin County","Middle",347
352,"Mankato West High School","9/20/2022",2022,12:00:00,"Tuesday","Mankoto","Minnesota","public",1243,0,0,0,"suicide",NA,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,993,121,59,28,2,59,39,0,NA,NA,44.159231,-94.017529,"9","12","Blue Earth County","High",348
353,"Rudsdale High School","9/28/2022",2022,12:45:00,"Wednesday","Oakland","California","public",294,0,6,6,"indiscriminate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,56,229,3,0,3,2,0,NA,NA,37.76573,-122.153923,"9","12","Alameda County","High",349
354,"Jeremiah E. Burke High School","10/4/2022",2022,09:30:00,"Tuesday","Dorchester","Massachusetts","public",390,0,1,1,"targeted",17,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,15,232,126,3,0,3,11,0,NA,NA,42.306942,-71.081648,"9","12","Suffolk County","High",350
355,"James Madison Academic Campus","10/10/2022",2022,15:30:00,"Monday","Milwaukee","Wisconsin","public",699,0,1,1,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,625,29,21,0,0,14,0,NA,NA,43.1261,-88.0128,"9","12","Milwaukee County","High",351
356,"Central Visual and Performing Arts High School","10/24/2022",2022,09:10:00,"Monday","St. Louis","Missouri","public",380,2,7,9,"indiscriminate",19,"m","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,56,289,26,6,1,0,2,0,NA,NA,38.604372,-90.270897,"9","12","St. Louis City","High",352
357,"Ingraham High School","11/8/2022",2022,NA,"Tuesday","Seattle","Washington","public",1483,1,0,1,"targeted",14,"m",NA,"student",NA,NA,15,"m",NA,"student",NA,NA,762,155,235,147,7,5,166,0,"handgun",NA,47.7257,-122.3369,"9","12","King County","High",353
358,"Ball Elementary School","11/11/2022",2022,13:26:00,"Tuesday","Ball","Louisiana","public",606,0,2,2,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473,39,22,24,1,0,47,0,NA,NA,39.6716,-89.629,"PK","4","Sangamon County","Elementary",354
359,"South Vermillion High School","11/17/2022",2022,09:30:00,"Thursday","Clinton","Indiana","public",535,0,1,1,"accidental",NA,"m",NA,"sheriff deputy",0,NA,NA,NA,NA,NA,NA,NA,506,4,12,0,0,1,12,1,"handgun",NA,39.689,-87.4138,"9","12","Vermillion County","High",355
360,"Freedom Preparatory High School","12/5/2022",2022,12:27:00,"Monday","Memphis","Tennessee","public",288,0,1,1,"accidental",15,"m",NA,"student",0,NA,NA,NA,NA,NA,NA,NA,1,233,49,0,0,0,5,0,NA,NA,35.032022,-90.036586,"6","8","Shelby County","High",356
361,"Suitland High School","12/8/2022",2022,10:00:00,"Thursday","Forestville","Maryland","public",2047,0,1,1,"targeted",16,"m",NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,28,1806,185,4,5,4,15,0,NA,NA,38.853645,-76.917277,"9","12","Prince George's County","High",357
364,"Fuquay-Varina Middle School","12/8/2022",2022,08:03:00,"Thursday","Fuquay-Varina","North Carolina","public",1157,0,0,0,"accidental",12,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,694,183,210,18,6,3,43,0,NA,NA,35.585093,-78.793497,"6","8","Wake County","Middle",358
362,"Cleveland High School","12/12/2022",2022,12:30:00,"Monday","Portland","Oregon","public",1625,0,1,1,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1062,42,150,138,2,6,198,0,NA,NA,45.4985,-122.6391,"9","12","Multnomah County","High",359
371,"Benjamin Franklin High School","1/5/2023",2023,NA,"Thursday","Rochester","New York","public",1029,0,0,0,"targeted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,574,349,18,1,0,4,0,NA,NA,43.188169,-77.597958,"9","12","Monroe County","High",360
365,"Beechcroft High School","1/6/2023",2023,11:30:00,"Thursday","Columbus","Ohio","public",630,0,0,0,"unclear",15,NA,NA,"student",NA,NA,NA,NA,NA,NA,NA,NA,53,375,141,30,1,1,29,0,NA,NA,40.0942,-82.9647,"9","10","Franklin County","High",361
